id,area,date,weather,landform,landform-text,landcover,landcover-text,landuse,landuse-text,boundaries,boundaries-text,sizes,sizes-text,routeways,routeways-text,structures,structures-text,water,water-text,enclosure,enclosure-text,views,views-text,landmarks,landmarks-text,scenic-text,activities-text,positive-text,negative-text
92,"ORWELL DRIVE INCUDING TRENT GROVE, CLYDE AVENUE, CHALMER GROVE AND PROPERTIES ON CHANDAG ROAD",,"",gently-undulating,,,,,"HOUSING",,"NONE",,"NONE",dense-road-network,,groups-of-dwellings,,,,tight,,long glimpsed,"KELSTON TUMP",,"NONE","DIVERSE",,"QUIET AREA","NONE"
10,"STOCKWOOD VALE 3",2013-11-08,"overcast/rain (08.11.13) & sunny (10.11.13)",,"SOUTHERN AREA IS FLAT, SLOPING SOMETIMES STEEPLY TO THE ROAD",,"MAINLY FARMLAND WITH AREAS OF TREES",grassland grazing,"THERE ARE SOME TREES",hedgerow,"ENTIRELY SURROUNDED BY HEDGES/TREES WITH SMALL STONE WALLS",irregular,"FIELD SIZES AND PATTERNS ARE IRREGULAR",,"THERE IS A SHORT TARMAC ROAD",,"THERE ARE FEW BUILDINGS - HOUSES, A NURSEY AND A GAS INSTALLATION",,,,,,"THERE ARE SWEEPING VIEWS OUTWARD AND GLIMPSED VIEWS INWARD",,,"THERE ARE LARGE AREAS OF CALMING GREENERY","THE MAP SITE IS ALMOST ENTIRELY FARMING WITH A RETAIL NURSERY","PEACEFUL VIEWS.","NO NEGATIVE FEATURES"
8,"STOCKWOOD VALE 1",2013-11-07,"overcast",,"THE LANDFORM HAS A VALLEY SIDE/FLOOR",,"THERE ARE ASSORTED HALF GARDENS, SOME WOODLAND, LARGE TARMAC AND CONCRETE AREAS. THERE IS A SMALL SECTION OF STREAM AND PADDOCKS",,"THE LAND IS INDUSTRIAL, GRAZING AND GARDENS",,"THE FIELDS BOUNDARIES ARE TALL, WITH HEDGEROWS. SOME OF THE BOUNDARIES HAVE TREES AND SOME DO NOT. THERE ARE WALLS AND STEEP BANKS",,"THE FIELDS ARE SMALL AND IRREGULAR",,"THERE ARE ONLY TWO ROADS AND BOTH ARE IN NEED OF REPAIR. ONE IS STEEP, NARROW, DANGEROUS AND WINDING. THE OTHER NARROW AND IS A GENTLE UP HILL SLOPE",,"THE DWELLINGAS ARE SPREAD OUT OVER THE AREA. THE LIGHT COMMERCIAL BUILDINGS ARE AT ODDS WITH THE SURROUNDINGS.",,"THERE IS A STREAM WITHIN THE MAP AREA.",,"THE ENCLOSURE IS ASSORTED",,"THERE ARE GLIMPSED VIEWS ACROSS THE VALLEY AT ONE SECTION.",,,"ONE SECTION IS VERY TRANQUIL. THE COMMERCIAL AND INDUSTRIAL SECTOR IS CHAOTIC. THE AREA IS VERY DIVERSE. THERE ARE SHORT TRAFFIC QUEUES AT ONE SECTION","THERE IS EMPLOYMENT IN ONE SECTION, THERE IS ALSO THE START OF A VERY POPULAR WALK ALONG A PUBLIC FOOTPATH.","IT IS THE START OF A LONG SWEEPING VALLEY WHICH IS VERY PICTURESQUE","ONE SECTION OF THE ROAD IS DIFFICULT TO NEGOTIATE CAUSING TRAFFIC JAMS"
13,"SOMERDALE SITE INCLUDING THE KEYNSHAM HAMS, THE DISMANTLED RAILWAY TRACK, THE BMX TRACK AND CAR PARK ON KEYNSHAM ROAD",2014-03-06,"overcast",gently-undulating,,,"OPEN GREEN SPACE - SPORTS FAILITIES. DISUSED FACTORY SITE",industrial,"OPEN SPACE AND DISUSED INDUSTRIAL",clipped hedgerow trees fences,,small irregular,,few-roads straight,"STRAIGHT WITH A SWEEPING CURVE",,"FACTORY",stream river,"RIVER AVON RUNS ALONG THE EASTERN, NORTHERN AND WESTERN PERIMETER OF THE SITE, AN ATTENUATION POND IS TO BE CONSTRUCTED TO HELD ALLEVIATE FLOODING PROBLEMS IN THIS AREA",open exposed large,,glimpsed,"ACROSS TO THE HAMS AND KELSTON HILLS",,"THE FRY'S CHOCOLATE FACTORY SOME PARTS OF WHICH ARE LISTED, THE ROMAN REMAINS AND ARCHAEOLOGICAL SITE CLOSE TO THE FACTORY ENTRANCE GATES (ON THE RIGHT). AVENUE OF TREES THAT HAVE TPO'S ON THEM, THE DISMANTLED FACTORY RAILWAY LINE","TRANQUIL SETTING - TINGED WITH SOME SADDNESS AT ITS LOST HISTORY. IT WAS PROBABLY A LIVELY BUSTLING PLACE BACK IN THE TIME WHEN THE FACTORY WAS RUNNING AT FULL CAPACITY - IT EVEN HAD ITS OWN RAILWAY.","SPORTING FACILITIES OFFERING FOOTBALL, CRICKET, TENNIS, GOLF, RUNNING AND WALKING","QUIET AREA WITH GOOD SPORTS FACILITIES, AMENITIES OF THE TOWN CENTRE AND KEYNSHAM STATION FOR COMMUNTING","THE LOSS OF THE CHOCOLATE INDUSTRY AND THE RE-DEVELOPMENT AND ITS 430 HOUSES THAT ARE TO BE BUILT ON SOMERDALE, ADDING TO CONGESTION OF THE ROAD SYSTEM IN THIS AREA, SIGNIFICANT FLOODING OF THE SPORTS FACILITIES TO THE NORTH OF THE SITE AND SYDENHAM MEADOW TO THE EAST OF THE SITE THIS NEEDS TO BE ADDRESSED IN THE PLANNING SCHEME FOR THE NEW DEVELOPMENT"
80,"WEST OF SALTFORD BOUNDARY INCLUDING PROPERTIES ON BATH ROAD AND GREEN BELT SURROUNDING",2013-01-04,"cloudy",,,,"SOME AREAS WITHIN THE GREEN OPEN SPACE TO THE REAR OF THE PROPERTIES IS KNOW TO BECOME QUITE BOGGY DUE TO UNDERGROUND SPRINGS AND STREAMS",,,,,,,,"NO ROUTEWAYS WITHIN THE MAIN SITE",,,,"SINKS, STREAMS AND SPRINGS WITHIN THE SITE. LAND PRONE TO BEING QUITE BOGGY AT TIMES",open,,sweeping long,"TO REAR OF THE A4 PROPERTIES THE OPEN COUNTRYSIDE LOOKS ACROSS TO MANOR ROAD WOODLANDS. VIEWS TO THE EAST OF THE KELSTON HILLS",,"THE AREA IS MOD SAFEGUARDED","ONCE OFF THE BUSY A4 THE STE IS TRANQUIL AND A PEACEFUL WALK CAN BE TAKEN ACROSS TO MANOR ROAD COMMUNITY WOODLAND","DOG WALKING, RAMBLING, BIRDWATCHING","CLOSE TO MANOR ROAD COMMUNITY WOODLAND, FORMS PART OF THE GREEN BELT SAFE GUARDING THE OPEN SPACE BETWEEN KEYNSHAM AND SALTFORD","THE BUSY A4 CLOSE BY."
33,"NORTH OF QUEENS ROAD INCLUDING CAERNARVON ROAD, MONMOUTH ROAD, LUDLOW CLOSE, ARUNDEL WALK, RAGLAN WALK, BARNARD WALK, CHEPSTOW WALK AND DONNINGTON WALK",2020-02-04,"dry, sunny & cold",gently-undulating,"MOSTLY UP HILL",,"URBAN BUILT UP AREA",,,,"OPEN BOUNDARY TO PLAYING FIELD. HOUSES WITH LOW FRONT GARDEN WALLS AND FENCES",small medium,"MAIN GREEN SPACE IS LARGE PLAY AREA. SMALL AREAS OF GREEN SPACE BETWEEN PROPERTIES.",dense-road-network,"URBAN AREA MADE UP ENTIRELY OF ROADS",,"TELEPHONE PYLONS, STREET LIGHTING",,,,"VERY TIGHT BUILT UP AREA",channeled,"SLIGHT VIEW OF KELSTON",buildings,"PRIMARY SCHOOL","VERY QUIET BUT DULL. DRAB COLOURS","MOSTLY LIVE","SEE PREVIOUS","SEE PREVIOUS"
2,"HICKS GATE ROUNDABOUT EAST - UP TO AND INCLUDING DURLEY LANE, INCLUDES CHADOS MOORINGS AND HANHAM LOCKS SEE FULL ASSESSMENTS NOTES AND PHOTOGRAPHS THAT FOLLOW THIS DOCUMENT",2014-02-18,"overcast",valley-side,,farmland-with-trees/woods,,grazing industrial,"The usage can be summarised as: agriculture (crops and grazing); arboriculture; commercial (car repairs & MOT Station, double glazing, fuel injection, scaffolding storage); horticulture; leisure (bird watching, boating, horse riding, motor cycle scrambling, walking); office accommodation; residential (caravans- unauthorised, houseboats, motorhome - unauthorised, private houses, waste tipping - unauthorised).",hedgerow,,large,,,,barns groups-of-dwellings pylons masts,,stream river,,,,,,buildings archaeology,"There is documented evidence of Neolithic occupation and the remains of an Iron Age settlement are located on high ground overlooking the river. CHANDOS LODGE, Chandos Lodge - Situated on a promontory above the river and commanding a fine view to the east, Chandos Lodge was built for Sir Thomas Bridges in 1663 as a hunting lodge. The house, which is Grade II listed, retains a number of internal decorative features. When the estate of the Second Duke of Buckingham and Chandos was broken up in 1841, Chandos Lodge became the principal residence for Lodge Farm, which encompassed the greater part of the area in the survey. During World War II some of the farm buildings were used for the manufacture of aircraft parts and a commercial dairy. By the 1980s all of the original farm buildings were given over to industrial and commercial use.",,,,
24,"WEST OF ASHTON WAY INCLUDING THE CAR PARK, SCOUT & GUIDES HUT AND PROPERTIES ON WEST VIEW ROAD AND ROCK ROAD",2014-03-03,"dry",flat,,,"HOUSING, LEISURE FACILITIES AND SOME COMMERCIAL",brownfield,,,,,,,,groups-of-dwellings masts wires,,,"NONE",,,,"NO REAL VIEWS",,"TOP OF CHURCH TOWER","BUSY BUT PLEASANT HOUSING CLOSE TO THE TOWN CENTRE. SAFE AND GOOD FACILITIES FOR THE SCOUTS AND GUIDES","YOUTH ORGANISATIONS, FARMERS MARKET HELD ON ASHTON WAY CAR PARK THE SECOND SATURDAY OF EVERY MONTH.","EXCELLENT FACILITIES FOR YOUNG PEOPLE, THE FARMERS MARKET","NO REAL NEGATIVES."
46,"CASTLE PRIMARY SCHOOL",2014-01-16,"drizzle",flat,,,,grassland,,fences,,medium regular,,,"SCHOOL ACCESS ROAD. NARROW - ONE VEHICLE",,"SCHOOL",,"ONLY GRASS",enclosed small,,short,,buildings,,"VARIES - TRANQUIL WHEN THE CHILDREN ARE IN LESSONS - CHAOTIC WHEN AT PLAY","WORK & PLAY","THE SCHOOL WITH A DECENT SIZED PLAYING FIELD AND PLAY AREA","NOTHING"
96,"CHERWELL ROAD PLUS TEVIOT ROAD, WINDRUSH GREEN PLUS PROPERTIES ON WINDRUSH ROAD",2014-02-25,"fine",gently-undulating,,open-farmland,"JUST OUTSIDE AREA 96",grassland,"RESIDENTIAL",hedgerow,,large irregular,,dense-road-network,,,,,,open,"OPEN FOR A HOUSING ESTATE",long,,natural-features,,"CALM, BIRDSONG, VERY FAINT TRAFFIC NOISE. LITTLE PLAY PARK - NO NOTICES TO SAY 'THIS WAY TO…'",,"PEOPLE MAKE AN EFFORT WITH THEIR GARDNES. A LADY SPOKE ABOUT THEIR WORRIES OF THE CORE STRATEGY INTENTIONS TO BUILD. THEY BROUGHT THEIR HOUSE FOR THE VIEWS","NO SHOPS OR LEISURE FACILITY. NO BENCHES"
101,"HURN LANE 97 - 33 PLUS 103 - 109 MANOR ROAD",2013-11-15,"sunny/light cloud",,,,"ROW OF HOUSES",,,,"NOT APPLICABLE",,"NOT APPLICABLE",,,,"NOT APPLICABLE",,"NONE",,,,"GLIMPSED VIEWS ACROSS TO A PLACE OR LANDMARK",,"NONE","QUIET STREET","SLEEP MAINLY","CLEAN QUIET AREA","MINOR NOISE FROM TRAFFIC"
41,"ABBOTS WOOD PLUS GREEN LAND TO THE SOUTH OF HOLMOAK ROAD",2013-12-12,"",flat,,farmland-with-trees/woods,,grassland mixed forestry,,hedgerow with/without-trees,,medium irregular,,,"THERE ARE NO ROADWAYS ONLY PUBLIC FOOTPATHS",,"THERE IS A 6 FOOT CLAY SCULPTURE OF AN AMMONITE IN THE LANDSCAPE MADE BY LOCAL ARTIST CAROL PEACE",,"THERE ARE NONE OF THE ABOVE BUT THE SITE IS SUSCEPTIBLE TO EXCESSIVE STANDING SURFACE WATER",open,,glimpsed,"THE NORTHERN BIUNDARY IS ALL HOUSING AND THE REMAINDER IS HEDGES AND TREES",,,"ENTIRELY WOOD AND GRASSLAND - IT IS A VERY TRANQUIL AREA.","THE WHOLE AREA IS CRISS CROSSED WITH PUBLIC FOOTPATHS- IT IS USED BY WALKERS, DOG WALKERS, BIRD WATCHERS, LOCAL MUSIC, POETRY AND ART GROUPS FOR PICNICS.","IT IS A LOVELY AREA FOR WALKS AND TO BE WITH NATURE. NO ROADS","THERE ARE NO NEGATIVE POINTS."
86,"SOUTH OF BATH ROAD INCLUDING HILLS CLOSE, DERWENT GROVE PROPERTIES ON BATH ROAD AND CHANDAG ROAD",2014-01-22,"",gently-undulating,"THIS APPLIES TO BATH ROAD AND MAINLY CHANDAG ROAD",,,,,,"THE BORDER TO THE EAST IS ENCLOSED WITH RAILING AND HEDGES",,,,"TWO ROADS BATH ROAD & CHANDAG ROAD (STRAIGHT), PLUS 3 CUL-DE-SACS",,"LANDSCAPE VIEW TO THE EAST OF THE PLAN HAS WELLSWAY ACADEMY SPORTS FACILITES. LARGE AREA OF PLAYING FIELDS",,,,,sweeping,"EASTERN EDGE ACROSS SCHOOL PLAYING FIELDS",buildings,"WELLSWAY ACADEMY","IT IS BUILT UP BUT IT IS CLEAN - FOR ALL SEASONS","MAINLY RESIDENTIAL - ACTIVITES ASSOCIATED","DESIRABLE THROUGHOUT WITH QUALITY HOMES. EASY REACH OF SERVICES PETROL STATION, SUPERMARKET, SURGERY, CHEMIST & WITHIN REASONABLE DISTANCE OF THE TOWN SHOPPING CENTRE","SIMPLY PUT, NONE"
7,"OLD VICARAGE GREEN",2013-12-20,"seasonal but wet",flat plateau,"ON ONE SIDE",,"RESIDENTIAL",,"RESIDENTIAL",walls,,,,,"3 CUL-DE-SACS",village isolated farms pylons masts wires,"SURROUNDING COUNTRYSIDE UNDULATES",,,tight enclosed exposed intimate,"FORMS AN ENCLOSED SPACE BUT IS VERY EXPOSED TO THE NORTH EAST & WEST. EXCELLENT OLD STORE BOUNDARY WALL",glimpsed,"NO. 30 - 49 SWEEPERS AND INTO WEST 50 - 63 CHANNELLED TO THE NORTH EAST. 1 - 29 BRISTOL ROAD INCLUDING LISTED BUILDINGS",,"WELL PLANNED COMMUNAL GARDENS. VERY CLOSE TO ABBEY REMAINS - 4 CHURCHES","VERY HARMONIOUS. GARDENS VERY WELL KEPT NOT NATURAL. EXCELLENT TREES","COMMUNAL PARTIES","EXCELLENT LOCATION - QUIET YET CLOSE TO MAIN SHOPPING AREA, BUS STOPS, RAILWAY STATION.","DIFFICULT IN RUSH HOURS TO JOIN THE TRAFFIC STREAM. PEDESTRIANS CAN FIND IT DIFFICULT TO CROSS BRISTOL ROAD"
17,"ST. LADOC ROAD EAST BETWEEN THE JUNCTION OF BRISTOL ROAD AND JUNCTIONS OF ST. FRANCIS ROAD",,"",strongly-undulating,,,,,,,,,,,,,,,,,,,,,"NO ARCHEOLOGY - NOTHING TO NOTE","TYPICAL SUBURBAN STREET SCENE",,"IT IS A MAIN ROUTE TO LEAVE KEYNSHAM BY ACCESS TO THE A4","HEAVY TRAFFIC ROUTE IN RUSH HOUR AND MOST OF THE DAY DUE TO CLOSURE OF 2 MAIN ROADS"
73,"AVON VALLEY COUNTRY PARK INCLUDING AVON VALLEY FARM AND AVON VALLEY BUSINESS PARK",2014-01-28,"overcast",flat,"MOSTLY FLAT - GENTLY SLOPING TO RIVER",farmland-with-trees/woods woodland parkland,"MAINLY COUNTRY PARK - ADMISSION PAYABLE",grassland grazing mixed forestry industrial,"MAINLY COUNTRY PARK WITH ASSOCIATED BUILDINGS - ALSO A SMALL INDUSTRIAL ESTATE",hedgerow trees,,small medium irregular,,narrow,"2 SINGLE TRACK TARMACED ROADS WITH PARKING AREA - LARGE ON UNMADE SURFACE",barns,"ASSORTED BUILDING ASSOCIATED WITH FAMILY RUN COUNTRY PARK - ALSO ASSORTED INDUSTIAL ESTATE BUILDINGS",stream ponds lake,"MAN MADE PONDS/LAKES",open large,,sweeping,"ACROSS RIVER AVON TO OPEN COUNTRYSIDE",,"ASSORTED BUILDINGS FOR PUBLIC USE AND INDUSTRIAL","BUSY AND NOISY WITH FAMILIES IN THE SUMMER","MAINLY LEISURE - COUNTRY PARK WITH LARGE CHILDRENS PLAY AREA. VERY POPULAR IN THE SUMMER, THERE IS ALSO A SMALL INDUSTRIAL ESTATE","THE AREA HAS BEEN TURNED ONTO A POPULAR COUNTRY PARK VERY POPULAR IN THE SUMMER, ADJACENT TO THE RIVER AVON AND IS A BREEDING GROUND FOR DUCKS AND GEESE","ACCESS OVER A HUMP BACK BRIDGE IS DANGEROUS - OVEWISE VERY PLEASANT NEXT TO THE RIVER"
84,"THE HOMESTEAD INCLUDING UPLANDS COTTAGES, BURNETT POINT PLUS SURROUNDING FIELDS",2013-11-17,"fine",gently-undulating strongly-undulating valley-side/floor,"THERE IS A MIXTURE OF STRONG AND GENTLE UNDULATING LAND DOWN TO THE VALLEY FLOOR",open-farmland farmland-with-trees/woods woodland,,arable-farmland grazing,,hedgerow trees walls,,medium large irregular,,few-roads tracks,,barns groups-of-dwellings,"THE GAS PIPE LINE FOLLOWS THE RIVER CHEW, FARM STRUCTURES - TIN SHEDS - STABLES",river,"RIVER CHEW",open exposed,,sweeping long,,,"VILLAGE OF CHEWTON KEYNSHAM SET INTO THE VALLEY","CAN BE TRANQUIL. THE BUSY B3116 WITH ITS NATIONAL SPEED LIMITED AND 40 M.P.H. SECTIONS SPOILS THE AMBIENCE","BIRD WATCHING, COUNTRY WALKS, FISHING, DOG WALKING","COUNTRYSIDE UNSPOLIT, THE HOMESTEAD IS A QUIET TRANQUIL FAMILY ESTATE","THE BUSY B3116"
98,"EAST OF WALDEN ROAD INCLUDING DEVRON GROVE, COLNE GREEN, MNSMERE ROAD, WITHAM ROAD PLUS PROPERTIES ON WINDRUSH ROAD",2014-02-17,"raining",gently-undulating,,,,,"RESIDENTIAL",fences,,large angular,,,,,"PLANNED RESIDENTIAL. EACH ROAD DEVELOPED BY A DIFFERENT BUILDER IN A DIFFERENT AREA",,,open,,long,"KELSTON ROUNDHILL",,,"WELL KEPT",,"VERY SAFE FEELING","BIT BORING - A NEEDS A COMMUNITY SOMETHING!"
30,"DOWNFIELD PLAY AREA",2013-11-20,"",flat,"PLAY AREA IS SUNK INT THE GROUND BY APPROXIMATELY 18 INCHES",parkland,,,"AMENITY",hedgerow trees fences,,,,,"TARMAC PATHWAYS",,"SURROUNDED BY FLATS & HOUSES",,"NONE",enclosed,,channeled,,buildings,,"WELL USED","LEISURE","PLAY AREA","NO NEGATIVE COMMENT"
89,"SOUTH OF SEVERN WAY INCLUDING KENNET ROAD, WELLAND ROAD, TAMAR DRIVE PLUS PROPERTIES ON CHANDAG ROAD",,"",flat,,,,,"HOUSING",,"NONE",,"NONE",dense-road-network straight,,,"CRICKET FIELD ADJACENT TO THE SITE",,,tight,,glimpsed,"KELSTON TUNP",,"NONE","QUIET AREA NEXT TO THE CRICKET FIELD","PEACEFUL APART FROM CHANDAG ROAD - MAIN ROADS THROUGH THE ESTATE","QUIET & PEACEFUL ON THE WHOLE","NONE"
