area-number,character-area,date,weather,topography,topography-text,layout,layout-text,spaces,spaces-text,greenery,greenery-text,wildlife,wildlife-text,roads,roads-text,landmarks,landmarks-text,views-out-text,views-in-text,buildings,buildings-text,roofs,roofs-text,materials,materials-text,details,details-text,positive-text,negative-text
20,BRISTOL GREEN BELT 1 - FROM STOCKWOOD VALE SOUTH TO LAYS FARM,22/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"EAST OF WELLSWAY INCLUDING HIGHFIELD, OAKFIELD ROAD AND PROPERTIES ON WELLSWAY PLUS A FEW ON COURTENAY ROAD",,dull,,THE LAND IN THIS AREA SLOPES TO THE WEST GENTLY FALLING FROM THE ESTATE ROADS TO THE MAIN B3116 WELLSWAY,,PROPERTIES ON THE WELLSWAY AND COURTENAY ROAD HAVE THE LARGER GARDENS,,RESIDENTIAL ESTATE,,"THE MAJORITY OF THE PROPERTIES HAVE EITHER SMALL TREES, SHRUBS OR HEDGES IN THE GARDENS",,,,"THE PROPERTIES ON THE WELLSWAY HAVE BOTH A PAVED AREA AND A GRASSED VERGE IN FRONT, THE MAIN B3116 WELLSWAY IS A FAIRLY WIDE ROAD BUT THE OTHER ESTATE ROADS ARE NARROW. SUNNYMEAD, OAKFIELD ROAD AND HIGHFIELD ARE ALL NO THROUGH ROADS WITH CUL DE SACS.",,THERE ARE NO KEY LAND MARKS VISIBLE,SOME OF THE PROPERTIES ON THE WELLSWAY HAVE VIEWS OUT ACROSS THE VALLEY TO CHEWTON KEYNSHAM,THERE ARE VIEWS INTO THE ESTATE FROM THE WELLSWAY,,"THERE ARE LARGE DETACHED PROPERTIES ON THE WELLSWAY, THE PROPERTIES IN SUNNYMEAD, OAKFIELD AND HIGHFIELD PROPERTIES ARE PREDOMINATELY BUNGALOWS",,ROOFS ARE TILED AND PITCHES VARY AS TO WHETHER THE PROPERTY IS ONE OR TWO STOREY,,,,SOME PROPERTIES ON THE WELLSWAY HAVE BALCONIES.,APART FROM THE BUSY B3116 THE AREA IS FAIRLY QUIET. THE AREA IS QUITE AFFLUENT,THE BUSY B3116
11,"ABBEY PARK, ABBEY CLOSE, THE AVENUE AND PART OF STATION ROAD",,fair,flat,,linear no-obvious-centre,,gaps-between-buildings,,trees,"ABBEY PARK & STATION ROAD - MANY MATURE TREES - PROPERTIES WITH LARGE GARDENS. THE AVENUE - VICTORIAN PROPERTIES - LITTLE OF THE GARDENS REMAIN - NEW HOUSES HAVE MODEST GARDENS WITH TREES ON THE BY-PASS BANK, TREES LINE THE RAILWAY TRACK",,"ABBEY PARK & ABBEY CLOSE - MATURE TREES, SQUIRRELS, MOLES, VARIETY OF BIRDS AND BATS.",cul-de-sacs on-plot-parking on-street-parking,"ABBEY PARK AND ABBEY CLOSE IS A PRIVATE ROAD - WITH PAVEMENT, THE AVENUE HAS NO PAVEMENT, STATION ROAD IS WITH PAVEMENTS BOTH SIDES",,THE PARISH CHURCH OF ST. JOHN'S IS VISIBLE FROM MOST PROPERTIES.,PROPERTIES AT THE END OF THE AVENUE LOOK ACROSS THE HAMS AND PLAYING FIELDS. PROPERTIES IN STATION ROAD & ABBEY PARK LOOK TOWARDS THE PARK AND HAVE DISTANT VIEWS TO LANSDOWN,VIEWS IN FROM THE TOWER OF ST. JOHN'S CHURCH,,"MOST OF THE AVENUE AND ABBEY PARK ARE VICTORIAN VILLAS - MOSTLY 3 STOREYS SEMI DETACHED. ABBEY CLOSE 1930'S TERRACE OF 4 PROPERTIES WITH GARAGE BLOCK TO THE REAR. STATION ROAD - 1 GEORGIAN DETACHED, 1 VICTORIAN DETACHED - DR'S SURGERY, GUEST HOUSE PART OF THE SEMI WITH THE AVENUE. BOTH ROADS HAVE 2 1960'S DETACHED HOUSES. 1 STABLE BLOCK CONVERSION 2010",steep-pitch,,,"MOST PROPERTIES ARE STONE BUILT WITH SLATE ROOFS OR TILES, THERE ARE MOSTLY BOUNDARY WALLS - OPEN ROBBED ABBEY STONE",,"VICTORIAN PROPERTIES IN THE AVENUE ARE ALL OF THE SAME STYLE - SOME WITH MODERN EXTENSIONS. ABBEY CLOSE - ALL THE SAME DESIGN WITH MODERN REAR EXTENSIONS. ABBEY PARK - INDIVIDUAL DESIGNS, STATION ROAD HAS LISTED GRADE II ARCH BUILT MOSTLY FROM ROBBED ABBEY STONE. THERE IS ALSO A VICTORIAN LAMP STANDARD OUTSIDE NUMBER 21 WITH A GEORGE V LETTER BOX.",THE AREA HAS A BY-PASS ON ONE SIDE AND RAILWAY ON THE OTHER. THERE ARE TWO QUIET RESIDENTIAL ROADS EITHER SIDE OF THE STATION ROAD AND THE AREA IS PART OF KEYNSHAM'S CONSERVATION AREA.,THE AVENUE MOSTLY HAS VICTORIAN PROPERTIES CONVERTED FOR MULTIPLE OCCUPATION. ACCESS ON TO STATION ROAD HAS VISIBILITY ISSUES AND NOISE FROM THE RAILWAY.
108,"SOUTH OF COURTENAY ROAD (2) INCLUDING CADBURY ROAD, MAESBURY ROAD SILBURY RISE, CHALFIELD CLOSE, HARRINGTON DRIVE PLUS PROPERTIES ON COURTENAY ROAD",13/02/2014,cloudy & cold,shallow,SLOPING TOWARDS THE NORTH,grid-like regular,COMFORTABLE PLOTS,green-spaces,PLAY AREA,trees bushes hedges green-backcloth-to-buildings,,,"BIRDS, INSECTS IN SUMMER AND SOME SMALL MAMMALS",pavements kerbs grass-verges curving-roads cul-de-sacs,"NEARLY ALL THE ROADS ARE CUL-DE-SACS AND INCLUDE:, MAESBURY ROAD, SILBURY RISE, CHALFIELD CLOSE, HARDINGTON DRIVE, AND PART OF CADBURY ROAD",,THE PLAY AREA IN CHALFIELD CLOSE (SEE PHOTO AFTER ASSESSMENT FORM),"FARM LAND, KELSTON ROUNDHILL, MANOR ROAD COMMUNITY FOREST",RESTRICTED VIEW FROM WELLS ROAD/WELLSWAY,detached 2-storeys,,pitched-roofs shallow-pitch,,brick tile tarmac,,,HIGH QUALITY GARDENS,"OPULENT AFFLUENT AREA, LARGISH HOUSING GENERALLY WELL MAINTAINED",BLAND FEATURELESS ENVIRONMENT
36,"WEST OF TENBY ROAD INCLUDING THE COOPERATIVE STORE, QUEENS ROAD SHOPS, COMMUNITY@67 AND FEW PROPERTIES ON WARWICK ROAD",03/03/2014,dry,flat,THE MAJORITY IS FLAT,grid-like irregular buildings-well-set-back front-gardens back-gardens short-plots no-obvious-centre,A LARGE PERCENTAGE OF THE AREA IS THREE STOREY SOCIAL HOUSING/HOUSING ASSOCIATION FLATS HENCE NO GARDENS BUT A SHARED COMMUNITY SPACE,gaps-between-buildings green-spaces well-used,,trees bushes hedges green-backcloth-to-buildings,,,JUST BIRDS,pavements kerbs grass-verges wide-roads,NO ROADS WITHIN THE SITE AREA,,NO KEY LAND MARKS,OCCASIONAL VIEWS OUT TO OTHER ESTATES,VIEWS IN FROM THE FLAT WINDOWS AND OTHER ESTATE ROADS,wide-frontages semi-detached 2-storeys 3-storeys common-shapes,SEVERAL LARGE BLOCKS OF THREE STOREY FLATS,pitched-roofs shallow-pitch,,some-common brick render tile hedges fences tarmac concrete,,,,"HOUSING ASSOCIATION PROVIDES AFFORDABLE RENTED ACCOMMODATION, GOOD COMMUNAL AREAS",LACK OF PARKING PROVISION
92,"ORWELL DRIVE INCLUDING TRENT GROVE, CLYDE AVENUE, CHALMER GROVE AND PROPERTIES ON CHANDAG ROAD",,,flat,,front-gardens back-gardens thin-plots short-plots wide-plots no-obvious-centre,,green-spaces hard-space,,trees bushes hedges areas-of-intense-greenery,,,,pavements kerbs grass-verges narrow-roads cul-de-sacs through-roads on-plot-parking,,,KELSTON TUMP VISIBLE,YES,,semi-detached 2-storeys,,pitched-roofs,,brick tile walls hedges fences,,porches window-shapes,,QUIET AREA,
10,STOCKWOOD VALE 3,08/11/2013,overcast/rain (08.11.13) & sunny (10.11.13),,NOTE: THERE ARE NO FOOTPATHS SO THIS AREA CAN ONLY BE VIEWED FROM THE PERIMETER. IT SLOPES STEEPLY IN PLACES DOWNHILL FROM SOUTH TO NORTH,,IT IS A LARGE AREA - MAINLY FIELDS OF IRREGULAR SHAPES,green-spaces not-well-used,,areas-of-intense-greenery,,,NO WILDLIFE WAS SEEN - THERE IS SURE TO BE PLENTY OF WILDLIFE AS THERE IS A VARYING ASSORTMENT OF TREES.,,THERE IS A SHORT LINK ROAD WHICH IS VERY NARROW AND COUNTRYFIED,,,FROM A SMALL AREA WITHIN THE MAP SITE THERE IS A VIEW ACROSS PLAYING FIELDS AND THE RAILWAY LINE CAN BE SEEN. THERE ARE LARGE AREAS OF SWEEPING VIEWS ACROSS EAST BRISTOL AND THE RING ROAD,THERE ARE FEW VIEWS IN BECAUSE OF THE HIGH HEDGES,,"THERE IS A SINGLE STOREY CAFE, A GAS INSTALLATION WITH STONE FACED SITE BUILDINGS. A FEW OF THE BUILDINGS ARE TWO THIRDS STONE FACED RESIDENCES. THERE IS A LARGE NURSEY WITH GREEN HOUSES",,THERE ARE A FEW HOUSES WITH PITCHED TILED ROOFS,,"THERE IS A SHORT TARMAC ROAD. THE AREA IS ALMOST ENTIRELY SURROUNDED BY HEDGES, TREES, AND FIELDS WHICH ARE ALSO SEPARATED BY HEDGES. THERE IS ONE SECTION WITH A HIGH STONE RETAINING WALL BY THE ROAD AND ALSO AROUND WHAT HOUSES THERE ARE. THE NURSERY HAS GLASS GREEN HOUSES, TIMBER BUILDINGS & POLYURETHANE TUBES PLUS ASSORTED OUTBUILDINGS.",,,LARGE FIELD AREA WITH VIEWS,THERE ARE NO FOOTPATHS TO EXPLORE IN THE AREA.
8,STOCKWOOD VALE 1,07/11/2013,overcast,,THE TOPOGRAPHY VARIES FROM HILLY TO SHALLOW. MAINLY AT THE STREAM FLOOR WITH SOME PARTS OF THE VALLEY EITHER SIDE,,SOME BUILDINGS HAVE LONG PLOTS. OTHERS HAVE LARGE INDIVIDUAL PLOTS. ALL PLOTS ARE SET WELL BACK. THERE IS A LARGE FLAT AREA OF LIGHT COMMERCIAL,,"THERE ARE LARGE GARDENS, PADDOCKS, FIELDS, SMALL AREAS OF SCRUBBY WOODLAND",,,,NO WILDLIFE WAS SEEN BUT BECAUSE OF THE NATURE OF THE LAND THERE MUST BE A SELECTION PRESENT.,,THE ROADS ARE VERY NARROW WITH NO PAVEMENTS. THERE IS SOME OFF STREET PARKING,,NO LAND MARKS CAN BE SEEN,SLIGHTLY OBLITERATED VIEWS ACROSS THE VALLEY SIDE & ACROSS THE FIELD ON THE OTHER SIDE,THERE ARE VIEWS INTO THE SITE FROM THE OPPOSITE VALLEY,,"THERE IS A ROW OF 2/3 STOREY SEMI-DETACHED HOUSES WITH BRICK AND RENDERED ELEVATIONS UNDER TILED ROOFS. LARGE 2/3 STOREY DETACHED HOUSES - STONE, BRICK AND RENDERED ELEVATIONS AND TILE/SLATE ROOFS. THERE IS A SMALL LIGHT COMMERCIAL INDUSTRIAL ESTATE WITH ASSENTED CONSTRUCTION",,THE HOUSES ALL HAVE PITCHED ROOFS WITH VARYING SLOPES. THE COMMERCIAL PROPERTIES ARE ALL FLAT ROOFED,,THERE ARE STEEP BANKS TO ONE SECTION OF THE ROAD. THERE ARE A LOT OF HEDGES WITHIN THE MAP SITE AREA. THE INDUSTRIAL ESTATE IS MAINLY TARMAC AND CONCRETE.,,,IT IS A LOVELY QUIET PLACE TO LIVE IN ONE SECTION,ONE SECTION OF THE ROAD IS A SINGLE TRACK RAT RUN WITH PASSING PLACES - USUALLY BUSY. THE AREA HAS TRAFFIC PROBLEMS.
13,"SOMERDALE SITE INCLUDING THE KEYNSHAM HAMS, THE DISMANTLED RAILWAY TRACK, THE BMX TRACK AND CAR PARK ON KEYNSHAM ROAD",06/03/2014,overcast,flat,SLIGHTLY UNDULATING,clear-centre,CADBURY'S/FRY'S - SOMERDALE FACTORY SET IN WITHIN THE SITE TO THE SOUTH EAST WITH THE FRY'S CLUB SPORTS FACILITIES SOUTH WEST OF THE FACTORY. THE NORTH OF THE SITE ARE OPEN PLAYING FIELDS,gaps-between-buildings places-where-local-events-take-place,SOMERDALE FRY'S CLUB AND SPORTS FACILITIES WHERE SOCIAL AND SPORTING GATHERINGS ARE HELD,trees bushes hedges areas-of-intense-greenery,,area-used/inhabited-by-wildlife,ONLY BIRDS VIEWED BUT BEING CLOSE TO A LARGE GREEN OPEN SPACE AND THE RIVER AVON THERE HAS GOT TO BE NUMEROUS TYPES OF WILDLIFE,pavements kerbs grass-verges drainage-ditches straight-roads curving-roads parking-courts,ONE LONG STRAIGHT SWEEPING TREE LINED ENTRANCE ROAD UP TO THE FACTORY THAT CURVES AND MOVES ALONG IN FRONT OF THE FACTORY TO THE SPORTS FACILITIES AT THE REAR,,"THE DISUSED SOMERDALE (FRY'S CHOCOLATE FACTORY) THAT WAS ONCE ONE OF THE KEY INDUSTRIES OF KEYNSHAM. THE FACTORY IS SOON TO BE CONVERTED INTO APARTMENTS, OFFICE, RETAIL AND LIGHT INDUSTRY AS PART OF THE TAYLOR WIMPEY DEVELOPMENT WHICH WAS APPROVED ON 15TH FEBRUARY 2014, WITH WORKS SOON TO COMMENCE.",VIEWS OUT TO THE KELSTON HILLS AND THE HAMS,,,THE SOMERDALE FACTORY (SEE BELOW),flat-roofs,,brick hedges fences tarmac concrete,,,DECORATIVE TOWERS THAT FORM PART OF THE FACADE OF THE FACTORY,"QUIET AREA WITH GOOD SPORTS FACILITIES, AMENITIES OF THE TOWN CENTRE AND KEYNSHAM STATION FOR COMMUTING","THE LOSS OF THE CHOCOLATE INDUSTRY AND THE RE-DEVELOPMENT AND ITS 430 HOUSES THAT ARE TO BE BUILT ON SOMERDALE, ADDING TO CONGESTION OF THE ROAD SYSTEM IN THIS AREA, SIGNIFICANT FLOODING OF THE SPORTS FACILITIES TO THE NORTH OF THE SITE AND SYDENHAM MEADOW TO THE EAST OF THE SITE THIS NEEDS TO BE ADDRESSED IN THE PLANNING SCHEME FOR THE NEW DEVELOPMENT"
80,WEST OF SALTFORD BOUNDARY INCLUDING PROPERTIES ON BATH ROAD AND GREEN BELT SURROUNDING,04/01/2013,cloudy,,,,PROPERTIES FOLLOW THE A4,,GREEN FIELDS TO REAR OF PROPERTY USED FOR DOG WALKING,,TO THE REAR OF THE PROPERTIES IS GREEN BELT,,WILD BIRDS AND RODENTS,,THE BUSY A4 PASSES ALONG IN FRONT OF THE PROPERTIES,,NO KEY LAND MARKS,THERE ARE VIEWS OUT ACROSS GREEN FIELDS TO THE REAR OF THE PROPERTIES,VIEWS INTO THE SITE AREA FROM THE A4,,,,,,,,,"OPEN COUNTRYSIDE TO THE REAR OF THE PROPERTIES, ON MAIN BUS ROUTE TO AND FROM BRISTOL AND BATH. CLOSE TO AMENITIES SCHOOLS, SHOPS",CLOSE TO THE BUSY A4
33,"NORTH OF QUEENS ROAD INCLUDING CAERNARVON ROAD, MONMOUTH ROAD, LUDLOW CLOSE, ARUNDEL WALK, RAGLAN WALK, BARNARD WALK, CHEPSTOW WALK AND DONNINGTON WALK",04/02/2020,"dry, sunny & cold",shallow,"SLIGHT SLOPE, THE AREA COVERED RUNS PARALLEL WITH CHARLTON ROAD THEREFORE HAS A SLIGHT RISE RUNNING OUT TOWARDS QUEEN CHARLTON",irregular back-gardens long-plots short-plots clear-centre,THE AREA HAS AN IRREGULAR LAYOUT WITH ROADS AT 90º TO EACH OTHER. SOME ROADS RUN DOWN TO AN OPEN GREEN SPACE WHICH IS THE ONLY CENTRE OF THE AREA. ALL HAVE FRONT AND BACK GARDENS,gaps-between-buildings green-spaces well-used,THE AREA HAS A MIXTURE OF TERRACED AND SEMI-DETACHED PROPERTIES. SOME ROADS HAVE GREEN SPACES RUNNING DOWN THE MIDDLE OF THE ROAD DIVIDING HOMES ON EITHER SIDE,trees,"PLENTY OF GREEN SPACE. ONE LARGE OPEN GREEN USED AS A PLAY AREA. SOME ROADS ALSO HAVE A GREEN SPACE DIVIDING EITHER SIDE OF THE ROAD. THERE ARE A FEW TREES, SOME FRONT GARDENS HAVE FLOWERS AND SHRUBS ETC.",,URBAN AREA THEREFORE VERY LITTLE WILDLIFE,pavements kerbs grass-verges narrow-roads straight-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking parking-courts,"THE AREA IS MOSTLY NARROW ROADS WITH KERBS, PAVEMENTS AND SOME GRASS VERGES. IT HAS A MIXTURE OF THROUGH ROADS AND CUL-DE-SACS. THERE IS A LOT OF ON-STREET PARKING EVEN THOUGH MOST HOMES HAVE A PARKING AREA (GARAGE OR DRIVE)",,PRIMARY SCHOOL IS THE ONLY LANDMARK THAT CAN BE VIEWED FULLY. AT CERTAIN SPOTS YOU CAN GET A VIEW OF KELSTON,VIEWS OF QUEENS ROAD & TINTAGEL FLATS FROM BARNARD WALK AND DOWN CHARLTON ROAD TOWARDS KEYNSHAM HIGH STREET FROM THE BOTTOM OF CHEPSTOW WALK. LUDLOW CLOSE HAS VIEWS ACROSS GREEN OPEN SPACE AND PRIMARY SCHOOL,KELSTON ROAD PLAY AREA AND CHARLTON ROAD LOOKING UP CHEPSTOW WALK,wide-frontages terraced semi-detached 2-storeys 3-storeys,ALL BUILDINGS ARE HOUSES AND 2 STOREY. THEY ARE A MIXTURE OF TERRACED AND SEMI-DETACHED ALL OF A COMMON SHAPE. SOME HAVE WIDE FRONTAGES WITH DRIVES ON THE SIDE. SOME ARE NARROW WITH NO DRIVE,pitched-roofs shallow-pitch,ALL THE HOMES HAVE SHALLOW PITCHED ROOFS. NO LEAN-TO WERE SPOTTED,some-common brick stone render tile slate other fences tarmac paving-stones,"WALLS - BRICK & FACED BLOCKS. HOUSES VARIED IN COLOUR ROOFS - TILED, ALL ROADS WERE TARMAC AND PAVING STONES FOR PAVEMENTS",,"BAY AND FLAT WINDOWS, SOME ADDED PORCHES, GARDENS ARE WELL KEPT AND ARE IN A TIDY CONDITION",THERE IS PLENTY OF GREEN SPACE. IT IS VERY QUIET. WELL BUILT DRIVE WAYS. EX -COUNCIL STOCK. WELL MAINTAINED FRONT GARDENS. INDIVIDUAL FRONTAGES. THE WHOLE AREA WAS VERY CLEAN AND LITTER FREE. A SAFE PLACE TO LIVE. HANDY FOR SCHOOLS AND ACCESS TO THE HIGH STREET.,"NARROW ROADS AND POOR ACCESS, DULL AND UNINSPIRING"
2,"HICKS GATE ROUNDABOUT EAST - UP TO AND INCLUDING DURLEY LANE, INCLUDES CHANDOS MOORINGS AND HANHAM LOCKS",18/02/2014,overcast,hilly,"The ground, bounded to the north and part- bounded to the west by the River Avon, rises steeply from the river valley and its flood plain. The area is sub-divided diagonally by the main Bristol to London railway line, the A4 Keynsham By-pass and a small stream originating from Scotland Bottom, to the west of Hicks Gate. The underlying strata are pennant sandstone with inter-layered coal seams. The entire area is designated as Green Belt on the local area plan.",irregular,"The greater part consists of mixed-use agricultural land. The fields to the north of the by-pass are currently used for grazing horses. Little or no grass remains on the field between the railway line and the hill-fort on the ridge above the river. The ground here has been excavated and completely re-contoured to make a motor cycle scramble track. A small part of this field is used by the Severn Project for growing horticultural crops in polytunnels. The residents of the houseboats, moored along the riverbank, have erected a number of sheds on the wooded slope, which runs down to the river. Whilst the field between the by-pass and the edge of the Humpty Dumps is used for grazing, there have been a number of occasions recently when motor cycle scrambling has taken place on this land. The field between the by-pass and the A4175 is divided in two. The western portion, formerly used for cattle grazing, is designated as being used for arboriculture (this site has recently been the subject of an application for exploratory gas drilling). The eastern portion is farmed for crops, especially brassicas.",green-spaces,,trees bushes hedges green-backcloth-to-buildings,,area-used/inhabited-by-wildlife,"GREY SQUIRRELS, FOXES, BADGERS, BATH ASPARAGUS",,"GWR Railway - Brunel's iconic railway, opened in 1840, divides the area in two. The spoil from the deep cutting to the west was deposited in an area adjacent to the stream running into the Avon from Scotland Bottom. A public footpath runs through this area, which is known locally as the Humpty Dumps. This has provided an adventure playground for generations of Keynsham children. A4 By-Pass - The dual carriageway, which by-passes Keynsham, took two years to complete and was opened in 1966. Durley Lane - a private road providing a roadway to Chandos Lodge, the river moorings and Lock Cottage, the lane gave the people of Keynsham access to the ferry, which until the mid 1950s crossed the river to the Chequers Pub and the road to Hanham. Historically Durley Lane served the adjacent quarries for the carting of stone for building.",,"DURLEY LANE ESCARPMENT, Quarrying - There is considerable evidence of quarrying along the outer edge of the escarpment, immediately to the west of Durley Lane. The quarried pennant stone was of high quality and there is evidence of its use in the majority of buildings within the survey area. It is very likely that stone from the quarry at the southern end of Durley Lane was used by the Romans for the construction of the large villa on the site of Keynsham Cemetery. Coal Mining - In 1730 George Bridges, together with his cousin, James Bridges (Duke of Chandos), financed a number of exploratory mine shafts on land between Chandos Lodge and Hicks Gate. Coal was discovered in quantity but could not be worked profitably, because of the ingress of water from the River Avon.","SOMERDALE, KEYNSHAM (INCLUDING THE PARISH CHURCH), KELSTON ROUNDHILL",YES,varied-shapes,,,,,"WALLS - PENNANT SANDSTONE, ROOFS - CLAY DOUBLE ROMAN TILES",,,CRITICAL GREEN BELT BUFFER TO PRECLUDE RIBBON DEVELOPMENT,DE-SPOLIATION RESULTING FROM LACK OF PROPER PLANNING CONTROL AND ENFORCEMENT
24,"WEST OF ASHTON WAY INCLUDING THE CAR PARK, SCOUT & GUIDES HUT AND PROPERTIES ON WEST VIEW ROAD AND ROCK ROAD",03/03/2014,dry,flat,,linear irregular buildings-close-to-the-road buildings-well-set-back front-gardens back-gardens long-plots thin-plots clear-centre,THE SCOUT AND GUIDE FACILITIES FORM THE CENTRE OF THE MAP SITE AREA.,gaps-between-buildings green-spaces places-where-local-events-take-place well-used,"THE SCOUT AND GUIDE FACILITIES ARE PLACES WHERE LOCAL EVENTS TAKE PLACE. GREEN SPACE AROUND THE SCOUT AND GUIDE HUT, LARGE PUBLIC CAR PARK - ASHTON WAY",trees hedges,PLANTED UP DISPLAY AREAS IN THE PUBLIC CAR PARK,,ONLY GARDEN BIRDS,pavements kerbs wide-roads narrow-roads straight-roads on-plot-parking on-street-parking,,,THE TOP OF ST. JOHN'S CHURCH TOWER VISIBLE FROM SOME POINTS WITHIN THE SITE AREA,NO VIEWS OUT,VIEWS INTO ASHTON WAY FROM THE BALCONIES AND FROM THE REAR WINDOWS OF SOME OF THE PROPERTIES ON WEST VIEW ROAD,wide-frontages narrow-frontages terraced semi-detached 2-storeys varied-shapes,TWO STOREY FLATS,flat-roofs pitched-roofs varied-pitch,FLAT ROOFS TO COMMERCIAL BUILDINGS,nothing-common brick stone render walls hedges fences paving-stones,,,"BALCONIES ON FLAT ACCOMMODATION - BUILDINGS ON WEST VIEW ROAD, STONE CANOPY PORCHES ON SOME HOUSING",CLOSE TO TOWN FACILITIES.,NO REAL NEGATIVES
46,CASTLE PRIMARY SCHOOL,16/01/2014,drizzle,flat,,linear,,green-spaces,SCHOOL & SCHOOL PLAYING FIELD TO NORTH. PLAY AREA TO THE SOUTH WEST.,trees bushes hedges green-backcloth-to-buildings,TREES - 2 WITHIN THE SITE,,"SQUIRRELS, FOX AND DUCKS",through-roads,"ON PLOT PARKING FOR THE SCHOOL, THERE IS A THROUGH ROAD BUT THE SCHOOL GATES PROTECT THIS FROM PUBLIC USE.",,NONE,OFTEN. FENCED WITH VIEWS ONTO SURROUNDING HOUSES,"YES, FROM FOOTPATH ON EDGE TO SITE",,1 STOREY SCHOOL - WIDE FRONTAGE,flat-roofs,,fences tarmac,,,NOTHING IN PARTICULAR,THE PLAYING FIELD,THE SCHOOL BUILDING LACKS CHARACTER
96,"CHERWELL ROAD PLUS TEVIOT ROAD, WINDRUSH GREEN PLUS PROPERTIES ON WINDRUSH ROAD",25/02/2014,fine,flat,,winding irregular buildings-well-set-back front-gardens back-gardens long-plots wide-plots no-obvious-centre,,green-spaces,,trees bushes hedges areas-of-intense-greenery,,,LOTS OF BIRD SONG,pavements kerbs grass-verges wide-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking parking-courts,,,,LONG VIEWS TO HILLS AND SHORTER VIEWS TO WELLSWAY SPORTS HALL,,terraced semi-detached 2-storeys varied-shapes,,pitched-roofs varied-pitch lean-tos,,some-common,,,NOT 'EXECUTIVE' HOUSING BUT NICE MIDDLE OF THE ROAD TYPE OF HOUSING,NICE FAMILY AREA. SAFE & LOVELY,BIT BORING. WE FELT LIKE WE STOOD OUT
26,"SOUTH OF ST. GEORGE'S ROAD INCLUDING MENDIP CLOSE, SELWORTH AVENUE, PARK CLOSE, THE APIARY, CLEEVE GROVE, STAPLE GROVE, HOLCOMBE GROVE & PROPERTIES ON ST. GEORGE'S ROAD, LOCKINGWELL ROAD, ST. LADOC AND CHARLTON ROAD EXCLUDING DOWNFIELDS PLAYING FIELDS.",,dry,flat,,grid-like regular buildings-close-to-the-road buildings-well-set-back front-gardens back-gardens no-obvious-centre,SOME PLOTS ARE SET WELL BACK AND SOME PLOTS ARE CLOSE TO THE ROAD,gaps-between-buildings green-spaces well-used,THERE ARE A FEW SMALL GREEN SPACES WITHIN THE SITE AREA. PLUS A LARGE PLAY SPACE/PARK CALLED DOWNFIELDS (A SPERATE CHARACTER ASSESSMENTS HAS BEEN DONE ON THIS PLAY SPACE SEE NO. 30),trees bushes hedges areas-without-greenery,,,MAINLY BIRDS,pavements kerbs narrow-roads straight-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking parking-courts,"THE CUL-DE-SACS ARE: MENDIP CLOSE, SELWORTHY CLOSE, CLEEVE GROVE, STAPLE GROVE, HOLCOMBE GROVE, PARK CLOSE, ASHCROFT AVENUE IS A THROUGH ROAD FROM CHARLTON ROAD TO ST. GEORGE'S ROAD, IN THE CENTRE OF THE SITE AREA ARE SOME FLATS THAT HAVE A PARKING COURT CLOSE BY. THESE FLATS ARE REACHED BY A VERY NARROW ROAD AT THE END OF THE HOLCOMBE GROVE AND A FOOTPATH FROM STAPLE GROVE",,THERE ARE NO KEY LANDMARKS,THERE ARE NO VIEWS OUT,ONLY VIEWS IN FROM ESTATE ROADS,terraced semi-detached 2-storeys 3-storeys varied-shapes,MANY OF THE PROPERTIES ARE EX-COUNCIL HOMES NOW PRIVATELY OWNED HENCE THE DIFFERENCE IN HOUSING TILES AND COLOURS OF OUTSIDE RENDERING,pitched-roofs varied-pitch,,some-common brick render walls hedges fences tarmac,,,,"THE ESTATE IS CLOSE TO PLAY AMENITIES LOCAL PRIMARY AND SECONDARY SCHOOLS, ON THE WHOLE PROPERTIES MAINTAINED WELL",NO REAL NEGATIVES
101,HURN LANE 97 - 33 PLUS 103 - 109 MANOR ROAD,15/11/2013,sunny/light cloud,,SLIGHT SLOPE,,,,PLEASANT VERGED STREET,,,,9 TREES - BIRDS & INSECT ACTIVITY,,,,NONE,"FROM BACK OF PROPERTIES, GREEN FIELDS, WOODLAND & THE START OF THE COTSWOLDS","YES, FROM MANOR ROAD",,,,,,,,"MIDDLE CLASS, TIDY STREET","WELL MAINTAINED, RESPECTABLE, CLEAN ROAD WITH A FEELING OF OPENNESS",VERY FEW NEGATIVE COMMENTS. SOME FRONT GARDENS COULD BE MORE LIKE KEYNSHAM IN BLOOM. NONE REALLY
